user,latitude,longitude,date,day_of_week,hour,categoria
User_4408,2.81441,-60.75333,2018-07-12,Monday,19,restaurant
User_3402,-3.119051,-60.005268,2018-07-12,Monday,20,hair_care
User_4968,-23.587261,-48.044039,2018-07-12,Monday,19,bakery
User_3851,-22.733099,-43.467166,2018-07-12,Monday,21,university
User_1085,-23.458725,-47.464516,2018-07-12,Monday,22,lodging
User_1210,-25.350762,-49.212467,2018-07-12,Tuesday,6,doctor
User_5963,-25.411112,-49.349583,2018-07-12,Tuesday,19,furniture_store
User_4408,-23.026014,-45.55422,2018-07-12,Tuesday,9,school
User_3118,-26.308303,-48.837196,2018-07-12,Monday,20,storage
User_2911,-21.631839,-41.019794,2018-07-12,Monday,10,well_being
User_3212,-22.817798,-43.357674,2018-07-12,Tuesday,20,bar
User_1489,-29.713549,-53.812915,2018-07-12,Tuesday,19,restaurant
User_4354,-3.040807,-59.977383,2018-07-12,Tuesday,16,store
User_5203,-12.997444,-38.453065,2018-07-12,Tuesday,20,movie_theater
User_1820,-23.603777,-46.694356,2018-07-03,Wednesday,21,school
User_3397,-18.864359,-41.967616,2018-07-04,Wednesday,21,store
User_423,-23.182529,-45.885113,2018-07-05,Wednesday,16,store
User_4834,-23.682081,-46.657337,2018-07-05,Wednesday,19,doctor
User_3849,-15.828066,-48.012657,2018-07-05,Thursday,7,doctor
User_3388,-25.494106,-49.100169,2018-07-04,Thursday,8,restaurant
User_4959,-14.422756,-44.364885,2018-07-05,Thursday,7,restaurant
User_67,-22.818622,-43.293708,2018-07-05,Thursday,8,restaurant
User_2163,-1.452322,-48.500538,2018-07-03,Thursday,9,laundry
User_4281,-26.899548,-48.688702,2018-07-04,Thursday,10,restaurant
User_5960,-23.237345,-45.896933,2018-07-04,Thursday,10,university
User_5217,-20.141378,-44.893443,2018-07-04,Thursday,10,school
User_4521,-9.664809,-35.738631,2018-07-05,Wednesday,16,school
User_80,-29.62565,-51.137169,2018-07-05,Thursday,10,restaurant
User_271,-23.557972,-46.650676,2018-07-05,Wednesday,21,accounting
User_4985,-20.76178,-42.866731,2018-07-05,Wednesday,20,lodging
User_4888,-25.080941,-50.178894,2018-07-05,Wednesday,21,bank
User_4595,-7.793198,-35.587741,2018-07-05,Wednesday,21,car_dealer
User_2484,-22.969174,-43.41408,2018-07-05,Wednesday,21,doctor
User_5944,-3.786226,-38.62907,2018-07-04,Wednesday,21,grocery_or_supermarket
User_3858,-8.992971,-35.203268,2018-07-05,Wednesday,10,bakery
User_5505,-22.856068,-47.159691,2018-07-05,Thursday,0,furniture_store
User_4903,-22.913145,-47.063281,2018-07-05,Wednesday,11,beauty_salon
User_3352,-20.781397,-49.367865,2018-07-05,Thursday,8,bank
User_4098,-16.672075,-49.223082,2018-07-05,Wednesday,21,restaurant
User_5214,-5.667497,-37.801364,2018-07-02,Wednesday,21,pharmacy
User_5725,-19.918267,-43.938108,2018-07-02,Wednesday,13,pet_store
User_2756,-23.677731,-46.856321,2018-07-02,Wednesday,21,place_of_worship
User_2743,-22.892413,-47.026265,2018-07-02,Wednesday,21,store
User_1428,-15.608143,-56.057104,2018-07-02,Wednesday,20,gas_station
User_2255,-22.271221,-48.559614,2018-07-02,Wednesday,21,restaurant
User_4555,-4.751829,-40.830711,2018-07-02,Wednesday,21,bus_station
User_2983,-7.118953,-34.889984,2018-07-02,Wednesday,21,doctor
User_354,-23.634025,-46.686965,2018-07-02,Saturday,12,restaurant
User_3677,-9.737648,-36.677688,2018-07-02,Saturday,12,restaurant
User_5794,-22.885215,-47.08199,2018-07-02,Saturday,11,restaurant
User_5549,-16.684115,-49.35881,2018-07-02,Saturday,12,car_repair
User_1295,-2.572786,-44.2339,2018-07-02,Saturday,12,restaurant
User_2071,-15.848459,-48.040038,2018-07-02,Saturday,12,doctor
User_4903,-27.679481,-48.673436,2018-07-02,Saturday,13,pet_store
User_250,-3.042294,-60.008405,2018-07-02,Saturday,11,grocery_or_supermarket
User_5107,-23.583933,-46.603642,2018-07-02,Saturday,12,store
User_2324,-23.182815,-45.88321,2018-07-02,Saturday,12,restaurant
User_5513,-3.835712,-38.590887,2018-07-13,Saturday,13,hospital
User_5366,-20.701663,-47.01793,2018-07-13,Saturday,13,cafe
User_584,-23.536272,-46.46847,2018-07-13,Saturday,11,gym
User_348,-15.895362,-48.046554,2018-07-13,Saturday,12,restaurant
User_5438,-23.522459,-46.533568,2018-07-13,Saturday,12,florist
User_5300,-25.501083,-49.256112,2018-07-13,Saturday,12,moving_company
User_2191,-3.046402,-59.969903,2018-07-13,Saturday,12,lodging
User_3331,-3.970572,-45.665977,2018-07-13,Saturday,9,store
User_2360,-7.220397,-35.88561,2018-07-13,Saturday,9,accounting
User_1063,-12.917349,-38.408449,2018-07-13,Saturday,10,restaurant
User_1624,-21.763297,-43.34732,2018-07-13,Saturday,9,restaurant
User_475,-3.135299,-60.023838,2018-07-13,Saturday,9,lodging
User_1199,-21.734943,-43.327375,2018-07-13,Friday,21,restaurant
User_363,-22.811267,-43.189825,2018-07-13,Saturday,8,store
User_4029,-23.440332,-46.533422,2018-07-12,Saturday,3,real_estate_agency
User_5452,-12.978739,-38.453876,2018-07-13,Saturday,10,bank
User_2727,-20.011511,-45.97876,2018-07-13,Saturday,10,doctor
User_947,-30.157151,-51.147458,2018-07-13,Saturday,10,restaurant
User_1967,-20.075597,-44.579902,2018-07-09,Saturday,10,movie_theater
User_5972,-26.997791,-51.408481,2018-07-13,Saturday,10,bar
User_438,-27.499963,-48.511295,2018-07-12,Saturday,10,restaurant
User_5975,-15.324499,-49.138192,2018-07-13,Friday,21,lawyer
User_3377,-23.552779,-46.456329,2018-07-13,Friday,11,laundry
User_5553,-23.465856,-47.496408,2018-07-13,Friday,21,movie_rental
User_1965,-23.582689,-46.600678,2018-07-13,Wednesday,15,store
User_5004,-22.872569,-42.335442,2018-07-13,Friday,20,cafe
User_3946,-23.59169,-46.784001,2018-07-10,Friday,21,car_repair
User_2163,-21.1131,-45.831155,2018-07-10,Friday,22,well_being
User_2602,-23.48337,-46.633594,2018-07-10,Thursday,20,restaurant
User_3797,-22.936971,-43.244717,2018-07-09,Thursday,22,electronics_store
User_3361,-3.725442,-38.701494,2018-07-09,Thursday,22,store
User_734,-1.456302,-48.434339,2018-07-10,Thursday,22,amusement_park
User_850,-23.116574,-45.700558,2018-07-09,Thursday,18,school
User_382,-20.529561,-54.642365,2018-07-09,Wednesday,18,doctor
User_316,-25.439748,-49.222142,2018-07-09,Wednesday,14,bar
User_353,-20.35199,-40.376261,2018-07-09,Thursday,22,school
User_2268,-5.85271,-35.263319,2018-07-09,Thursday,22,moving_company
User_3900,-12.925745,-38.379279,2018-07-09,Thursday,21,police
User_2665,-23.575938,-46.738123,2018-07-10,Thursday,22,bank
User_1614,-21.774846,-43.370528,2018-07-10,Thursday,19,lodging
User_2882,-7.245294,-39.30552,2018-07-10,Thursday,22,doctor
User_2993,-27.002967,-48.629701,2018-07-10,Thursday,11,store
User_460,-21.61622,-48.367045,2018-07-10,Thursday,20,store
User_2782,-21.18178,-47.80548,2018-07-10,Thursday,18,storage
User_4557,-12.942138,-38.500221,2018-07-10,Thursday,15,shopping_mall
User_1372,-3.88169,-38.612482,2018-07-10,Thursday,22,cultural_venue
User_3541,-1.359543,-48.443404,2018-07-10,Thursday,17,store
User_2152,-19.624724,-43.225145,2018-07-10,Thursday,11,place_of_worship
User_1445,-22.879916,-47.054652,2018-07-10,Wednesday,15,well_being
User_2666,-23.560801,-46.560246,2018-07-10,Wednesday,17,furniture_store
User_11,-23.701666,-46.59236,2018-07-03,Thursday,22,bar
User_5733,-12.925799,-38.485813,2018-07-03,Tuesday,23,restaurant
User_772,-23.571166,-46.663943,2018-07-03,Tuesday,13,cafe
User_257,-15.802308,-47.948103,2018-07-03,Tuesday,22,car_repair
User_3516,-23.507378,-46.873556,2018-07-03,Tuesday,20,store
User_48,-23.51304,-46.674786,2018-07-03,Tuesday,10,lodging
User_5125,-22.431763,-46.823921,2018-07-03,Tuesday,14,bar
User_83,-3.083313,-60.013498,2018-07-03,Tuesday,22,store
User_2047,-18.7192,-39.855259,2018-07-03,Wednesday,0,store
User_2821,-22.836615,-43.361795,2018-07-03,Tuesday,23,restaurant
User_2895,-23.687074,-46.551464,2018-07-03,Tuesday,20,restaurant
User_934,-12.967339,-38.461934,2018-07-03,Tuesday,23,pharmacy
User_2272,-30.113908,-51.23033,2018-07-03,Tuesday,23,restaurant
User_3093,-23.554656,-46.614206,2018-07-03,Wednesday,9,restaurant
User_1154,-23.713261,-46.530849,2018-07-03,Wednesday,9,car_wash
User_2479,-22.881733,-47.231051,2018-07-03,Wednesday,9,jewelry_store
User_5192,-23.174044,-45.852329,2018-07-03,Wednesday,9,car_dealer
User_5805,-23.556241,-46.567849,2018-07-03,Wednesday,7,movie_rental
User_4042,-9.947777,-67.867429,2018-07-03,Wednesday,8,store
User_726,-29.164435,-51.515776,2018-07-03,Wednesday,9,public_transportation
User_211,-9.37591,-40.489704,2018-07-03,Wednesday,9,taxi_stand
User_3632,-22.977248,-44.296519,2018-07-03,Wednesday,9,restaurant
User_47,-23.702599,-46.559191,2018-07-03,Wednesday,11,car_repair
User_2853,-25.540066,-49.259516,2018-07-03,Wednesday,9,hospital
User_2528,-3.0341,-59.950452,2018-07-03,Wednesday,3,grocery_or_supermarket
User_3586,-22.959822,-43.029859,2018-07-03,Wednesday,10,doctor
User_1126,-22.825943,-43.074158,2018-07-03,Wednesday,9,store
User_4016,-29.948835,-51.173305,2018-07-02,Wednesday,10,fire_station
User_3182,-20.320995,-40.336898,2018-07-02,Wednesday,10,shopping_mall
User_3519,-23.48781,-46.486927,2018-07-02,Wednesday,10,restaurant
User_3340,-23.481144,-46.538379,2018-07-02,Wednesday,10,gym
User_4815,-12.999156,-38.504722,2018-07-02,Wednesday,8,locksmith
User_5407,-12.956774,-38.501897,2018-07-01,Wednesday,9,storage
User_3222,-22.861144,-47.045966,2018-07-02,Wednesday,10,electronics_store
User_1418,-12.914387,-38.335468,2018-07-02,Tuesday,22,park
User_747,-20.280877,-40.295293,2018-07-02,Monday,15,book_store
User_4535,-22.177903,-49.967874,2018-07-02,Monday,15,home_goods_store
User_799,-8.119446,-34.913219,2018-07-02,Monday,15,home_goods_store
User_2257,-18.583696,-49.202996,2018-07-02,Monday,16,store
User_2563,-25.413006,-49.228638,2018-07-02,Monday,15,jewelry_store
User_5645,-22.730066,-47.379038,2018-07-02,Monday,15,bus_station
User_3934,-11.417518,-40.300165,2018-07-02,Monday,16,bar
User_2524,-30.061836,-51.172099,2018-07-02,Monday,16,hospital
User_3794,-22.878045,-43.360413,2018-07-02,Monday,15,school
User_929,-23.594098,-46.616163,2018-07-02,Monday,15,grocery_or_supermarket
User_3442,-16.639588,-49.254962,2018-07-02,Monday,14,pet_store
User_3746,-15.794879,-48.128498,2018-07-02,Monday,16,lodging
User_4841,-19.340759,-42.156793,2018-07-02,Monday,9,bar
User_4676,-27.129261,-48.609129,2018-07-02,Monday,16,travel_agency
User_2256,-20.287309,-50.256175,2018-07-02,Sunday,22,restaurant
User_907,-9.602523,-35.755815,2018-07-02,Monday,2,store
User_2879,-29.763904,-57.086517,2018-07-02,Sunday,23,store
User_1387,-30.024185,-51.220688,2018-07-02,Monday,1,restaurant
User_1248,-22.92254,-43.616833,2018-07-02,Sunday,22,doctor
User_3140,-23.457751,-52.023693,2018-07-02,Monday,15,lodging
User_4773,-30.020846,-52.911504,2018-07-02,Monday,16,doctor
User_4225,-16.675223,-49.285465,2018-07-02,Monday,16,park
User_946,-23.433445,-51.88099,2018-07-02,Monday,16,restaurant
User_2061,-23.608879,-46.509895,2018-07-02,Monday,16,moving_company
User_2372,-23.178784,-45.847719,2018-07-14,Monday,16,store
User_274,-23.619438,-46.683494,2018-07-15,Monday,17,bar
User_726,-23.517519,-46.706459,2018-07-15,Monday,10,bar
User_3401,-3.81949,-38.495011,2018-07-15,Monday,6,courthouse
User_564,-20.354613,-40.390749,2018-07-15,Sunday,23,store
User_2520,-16.72462,-49.24099,2018-07-15,Monday,8,store
User_3168,-22.876121,-42.260849,2018-07-15,Monday,11,airport
User_19,-18.504456,-54.762593,2018-07-15,Sunday,11,local_government_office
User_4085,-15.915972,-48.06205,2018-07-15,Friday,21,shopping_mall
User_3989,-21.785182,-43.346633,2018-07-15,Sunday,12,cafe
User_638,-8.041199,-50.023213,2018-07-15,Friday,21,roofing_contractor
User_3088,-23.1705,-46.867959,2018-07-15,Sunday,12,restaurant
User_2040,-23.528835,-46.655598,2018-07-15,Sunday,7,plumber
User_3512,-22.854782,-47.201554,2018-07-15,Sunday,13,car_repair
User_2878,-25.46766,-49.190082,2018-07-15,Sunday,18,restaurant
User_673,-8.337488,-36.431768,2018-07-15,Sunday,18,school
User_3854,-7.033686,-34.834418,2018-07-15,Sunday,13,stadium
User_360,-20.907844,-47.570686,2018-07-15,Sunday,13,hospital
User_5364,-11.73037,-49.066708,2018-07-10,Sunday,13,car_repair
User_2105,-22.00426,-47.425749,2018-07-10,Sunday,13,restaurant
User_559,-23.636402,-46.609163,2018-07-10,Sunday,13,restaurant
User_2086,-23.503752,-47.115752,2018-07-10,Sunday,13,restaurant
User_4462,-12.889063,-38.312419,2018-07-10,Sunday,12,store
User_2023,0.039585,-51.069564,2018-07-10,Sunday,13,doctor
User_2983,-22.889742,-43.582296,2018-07-10,Sunday,11,storage
User_3228,-9.963026,-67.838936,2018-07-10,Sunday,15,book_store
User_2038,-5.795623,-35.189083,2018-07-10,Sunday,14,store
User_5262,-30.011883,-51.144627,2018-07-10,Sunday,18,car_repair
User_4535,-23.63129,-46.50259,2018-07-10,Sunday,18,roofing_contractor
User_4525,-22.482385,-42.204644,2018-07-10,Sunday,18,cafe
User_3030,-1.469016,-48.484927,2018-07-10,Sunday,18,airport
User_5630,-22.901336,-47.05256,2018-07-10,Saturday,20,park
User_2086,-22.874438,-43.445365,2018-07-10,Saturday,21,electronics_store
User_5026,-26.333954,-48.845368,2018-07-10,Saturday,21,store
User_1586,-15.822422,-48.112122,2018-07-10,Saturday,21,park
User_5613,-16.292089,-48.942581,2018-07-10,Tuesday,12,moving_company
User_4163,-22.922183,-43.187678,2018-07-10,Thursday,9,storage
User_1190,-23.165014,-46.913548,2018-07-15,Thursday,9,store
User_1173,-18.921346,-48.197849,2018-07-15,Thursday,9,store
User_2245,-21.301339,-50.360804,2018-07-14,Thursday,9,place_of_worship
User_5380,-22.761255,-43.402657,2018-07-15,Wednesday,16,bank
User_110,-4.283749,-41.775634,2018-07-15,Wednesday,20,parking
User_4936,-22.851385,-45.225079,2018-07-15,Wednesday,21,car_dealer
User_4768,-10.926856,-37.050273,2018-07-14,Thursday,8,restaurant
User_5532,-23.540219,-46.576618,2018-07-15,Wednesday,11,school
User_5251,-12.783659,-38.388959,2018-07-15,Thursday,8,restaurant
User_4227,-15.841451,-48.024564,2018-07-15,Thursday,9,bar
User_4080,-3.077856,-59.951995,2018-07-15,Wednesday,17,pharmacy
User_3620,-6.761475,-38.222094,2018-07-15,Thursday,1,furniture_store
User_2410,-23.54052,-46.260976,2018-07-15,Wednesday,14,store
User_772,-23.571009,-46.709478,2018-07-15,Wednesday,21,restaurant
User_4726,-19.888771,-44.017447,2018-07-15,Wednesday,21,restaurant
User_5103,-12.918989,-38.364387,2018-07-15,Thursday,15,place_of_worship
User_4074,-20.356918,-43.420019,2018-07-15,Tuesday,20,restaurant
User_4119,-23.030435,-44.163292,2018-07-15,Thursday,6,lodging
User_2032,-29.853732,-51.138068,2018-07-15,Thursday,6,place_of_worship
User_2840,-22.814985,-43.246969,2018-07-14,Wednesday,13,lodging
User_1826,-22.752132,-47.326833,2018-07-14,Thursday,6,store
User_1570,-4.865859,-43.355441,2018-07-14,Thursday,7,doctor
User_1982,-23.408742,-51.892166,2018-07-14,Wednesday,17,lodging
User_4050,-23.412574,-46.454068,2018-07-14,Thursday,10,grocery_or_supermarket
User_1905,-16.6939,-49.212278,2018-07-14,Thursday,10,cultural_venue
User_5030,-5.042739,-42.821355,2018-07-14,Thursday,10,gym
User_2757,-23.43505,-51.876958,2018-07-14,Thursday,10,restaurant
User_2951,-26.332712,-48.868114,2018-07-14,Thursday,10,restaurant
User_5775,-12.957885,-38.492632,2018-07-14,Thursday,10,storage
User_1187,-22.827513,-43.321247,2018-07-14,Thursday,10,restaurant
User_2221,-25.431783,-49.269066,2018-07-14,Wednesday,21,bakery
User_2681,-8.063817,-34.895985,2018-07-14,Wednesday,14,locksmith
User_4776,-23.72531,-46.690714,2018-07-14,Wednesday,21,car_dealer
User_1283,-19.969954,-43.796821,2018-07-14,Wednesday,21,car_dealer
User_5555,-3.080211,-60.062091,2018-07-14,Wednesday,20,school
User_4184,-14.223017,-42.774538,2018-07-14,Wednesday,20,electrician
User_2751,-23.44729,-47.482574,2018-07-14,Thursday,4,store
User_4469,-30.00921,-51.181747,2018-07-14,Wednesday,18,store
User_3511,-23.410685,-46.499173,2018-07-14,Wednesday,21,doctor
User_261,-23.546955,-46.64546,2018-07-14,Thursday,9,home_goods_store
User_3043,-12.893835,-38.327352,2018-07-14,Thursday,9,store
User_5955,-23.530471,-46.606419,2018-07-14,Thursday,9,store
User_2843,-27.485471,-48.655164,2018-07-09,Thursday,9,shopping_mall
User_462,-28.257203,-52.413344,2018-07-09,Thursday,9,doctor
User_5971,-3.744847,-38.492972,2018-07-10,Wednesday,19,doctor
User_646,-23.520718,-46.454476,2018-07-10,Thursday,10,store
User_24,-25.535958,-54.558277,2018-07-10,Thursday,9,storage
User_3385,-8.188187,-34.921118,2018-07-10,Thursday,8,school
User_1237,-16.049668,-47.991894,2018-07-10,Wednesday,11,store
User_4387,-12.259909,-38.966485,2018-07-10,Thursday,8,local_government_office
User_158,-23.639624,-46.737446,2018-07-10,Thursday,7,restaurant
User_5879,-11.726487,-49.07047,2018-07-10,Thursday,8,home_goods_store
User_3806,-22.916537,-47.070818,2018-07-10,Wednesday,8,doctor
User_3941,-21.790208,-43.353397,2018-07-10,Wednesday,20,post_office
User_3616,-3.141341,-58.438768,2018-07-10,Wednesday,20,cafe
User_2800,-16.684035,-49.245449,2018-07-10,Wednesday,21,car_repair
User_4432,-22.998358,-44.249421,2018-07-10,Thursday,8,school
User_4148,-10.741127,-37.813543,2018-07-10,Thursday,10,grocery_or_supermarket
User_3979,-27.420781,-48.433492,2018-07-10,Thursday,10,store
User_3503,-3.070183,-59.95434,2018-07-10,Monday,13,hospital
User_3928,-15.811514,-47.913323,2018-07-10,Monday,13,bar
User_4772,-7.107357,-34.879302,2018-07-08,Monday,15,restaurant
User_47,-3.089841,-60.070689,2018-07-09,Monday,14,lodging
User_752,-20.30272,-40.322457,2018-07-10,Monday,13,restaurant
User_3307,-25.521003,-48.507521,2018-07-10,Monday,15,school
User_2255,-19.877815,-44.98315,2018-07-10,Monday,10,hospital
User_4511,-7.126332,-34.955451,2018-07-10,Monday,8,grocery_or_supermarket
User_5770,-10.907987,-37.052333,2018-07-10,Monday,10,cultural_venue
User_1189,-26.467354,-49.109252,2018-07-10,Monday,9,grocery_or_supermarket
User_5602,-3.079838,-59.989425,2018-07-10,Monday,9,car_wash
User_2980,-23.622477,-46.729866,2018-07-10,Monday,11,restaurant
User_5492,-8.047385,-34.899581,2018-07-10,Thursday,22,home_goods_store
User_203,-8.190474,-34.919804,2018-07-13,Monday,11,bar
User_3699,-22.877286,-47.064809,2018-07-13,Saturday,21,shoe_store
User_2187,-10.284045,-37.926966,2018-07-13,Sunday,13,storage
User_5724,-21.835961,-46.560485,2018-07-13,Monday,2,furniture_store
